i x t
6 5.1899999e-01 -8.1783250e-02
7 5.1899999e-01 -8.3363861e-02
8 5.1899999e-01 -8.1671178e-02
9 5.1899999e-01 -8.2504168e-02
10 5.1899999e-01 -8.1381589e-02
11 5.1899999e-01 -8.0781870e-02
12 5.1899999e-01 -7.9836458e-02
13 5.1899999e-01 -8.3985068e-02
14 5.1899999e-01 -8.3579920e-02
15 5.1899999e-01 -7.9909496e-02
16 5.1899999e-01 -8.0370143e-02
17 5.1899999e-01 -8.1943095e-02
18 5.1899999e-01 -8.2297496e-02
19 5.1899999e-01 -8.0863126e-02
20 5.1899999e-01 -8.2389601e-02
1 5.1999998e-01 -5.6904618e-02
2 5.1999998e-01 -5.8631480e-02
3 5.1999998e-01 -5.8830604e-02
4 5.1999998e-01 -5.7645630e-02
5 5.1999998e-01 -5.9624374e-02
6 5.1999998e-01 -5.7957780e-02
7 5.1999998e-01 -5.9403609e-02
8 5.1999998e-01 -5.7008453e-02
9 5.1999998e-01 -6.0033217e-02
10 5.1999998e-01 -5.9877843e-02
11 5.1999998e-01 -5.8142338e-02
12 5.1999998e-01 -5.7146676e-02
13 5.1999998e-01 -5.8726680e-02
14 5.1999998e-01 -5.7273366e-02
15 5.1999998e-01 -5.7719465e-02
16 5.1999998e-01 -5.8514237e-02
17 5.1999998e-01 -5.8115851e-02
18 5.1999998e-01 -5.9233643e-02
19 5.1999998e-01 -5.8653556e-02
20 5.1999998e-01 -5.8101676e-02
1 5.2100003e-01 -3.4992527e-02
2 5.2100003e-01 -3.3429310e-02
3 5.2100003e-01 -3.5942327e-02
4 5.2100003e-01 -3.4697711e-02
5 5.2100003e-01 -3.5962816e-02
6 5.2100003e-01 -3.5462502e-02
7 5.2100003e-01 -3.3534780e-02
8 5.2100003e-01 -3.3854704e-02
9 5.2100003e-01 -3.5272315e-02
10 5.2100003e-01 -3.6855027e-02
11 5.2100003e-01 -3.5255197e-02
12 5.2100003e-01 -3.7236210e-02
13 5.2100003e-01 -3.5014350e-02
14 5.2100003e-01 -3.4124024e-02
15 5.2100003e-01 -3.4876157e-02
16 5.2100003e-01 -3.5314705e-02
17 5.2100003e-01 -3.4822330e-02
18 5.2100003e-01 -3.5757415e-02
19 5.2100003e-01 -3.5558932e-02
20 5.2100003e-01 -3.5031535e-02
