i x t
11 2.0999999e-01 -4.6256828e-01
12 2.0999999e-01 -4.6256819e-01
13 2.0999999e-01 -4.6256843e-01
14 2.0999999e-01 -4.6256876e-01
15 2.0999999e-01 -4.6256721e-01
16 2.0999999e-01 -4.6256894e-01
17 2.0999999e-01 -4.6256870e-01
18 2.0999999e-01 -4.6256661e-01
19 2.0999999e-01 -4.6256980e-01
20 2.0999999e-01 -4.6257013e-01
1 2.2000000e-01 -2.7260491e-01
2 2.2000000e-01 -2.7260426e-01
3 2.2000000e-01 -2.7260366e-01
4 2.2000000e-01 -2.7260432e-01
5 2.2000000e-01 -2.7260375e-01
6 2.2000000e-01 -2.7260390e-01
7 2.2000000e-01 -2.7260587e-01
8 2.2000000e-01 -2.7260399e-01
9 2.2000000e-01 -2.7260810e-01
10 2.2000000e-01 -2.7260414e-01
11 2.2000000e-01 -2.7260211e-01
12 2.2000000e-01 -2.7260855e-01
13 2.2000000e-01 -2.7260375e-01
14 2.2000000e-01 -2.7260393e-01
15 2.2000000e-01 -2.7260506e-01
16 2.2000000e-01 -2.7260405e-01
17 2.2000000e-01 -2.7260584e-01
18 2.2000000e-01 -2.7260619e-01
19 2.2000000e-01 -2.7260673e-01
20 2.2000000e-01 -2.7260682e-01
1 2.3000000e-01 -7.0775941e-02
2 2.3000000e-01 -7.0773385e-02
3 2.3000000e-01 -7.0776172e-02
4 2.3000000e-01 -7.0777252e-02
5 2.3000000e-01 -7.0776679e-02
6 2.3000000e-01 -7.0773691e-02
7 2.3000000e-01 -7.0775494e-02
8 2.3000000e-01 -7.0776761e-02
9 2.3000000e-01 -7.0774630e-02
10 2.3000000e-01 -7.0774771e-02
11 2.3000000e-01 -7.0778958e-02
12 2.3000000e-01 -7.0776612e-02
13 2.3000000e-01 -7.0776239e-02
14 2.3000000e-01 -7.0778631e-02
15 2.3000000e-01 -7.0779391e-02
16 2.3000000e-01 -7.0776716e-02
17 2.3000000e-01 -7.0776165e-02
18 2.3000000e-01 -7.0773244e-02
19 2.3000000e-01 -7.0777833e-02
20 2.3000000e-01 -7.0774950e-02
1 2.3999999e-01 1.3451552e-01
2 2.3999999e-01 1.3451934e-01
3 2.3999999e-01 1.3451841e-01
4 2.3999999e-01 1.3451762e-01
5 2.3999999e-01 1.3451974e-01
6 2.3999999e-01 1.3452035e-01
7 2.3999999e-01 1.3452207e-01
8 2.3999999e-01 1.3451660e-01
9 2.3999999e-01 1.3452034e-01
10 2.3999999e-01 1.3451914e-01
11 2.3999999e-01 1.3452043e-01
12 2.3999999e-01 1.3452478e-01
13 2.3999999e-01 1.3451955e-01
14 2.3999999e-01 1.3451657e-01
15 2.3999999e-01 1.3451900e-01
16 2.3999999e-01 1.3452131e-01
17 2.3999999e-01 1.3452081e-01
18 2.3999999e-01 1.3452016e-01
19 2.3999999e-01 1.3451457e-01
20 2.3999999e-01 1.3451943e-01
1 2.5000000e-01 3.3463645e-01
2 2.5000000e-01 3.3463281e-01
3 2.5000000e-01 3.3462968e-01
4 2.5000000e-01 3.3463389e-01
5 2.5000000e-01 3.3463028e-01
6 2.5000000e-01 3.3463225e-01
7 2.5000000e-01 3.3463430e-01
8 2.5000000e-01 3.3463058e-01
9 2.5000000e-01 3.3463755e-01
10 2.5000000e-01 3.3462906e-01
11 2.5000000e-01 3.3462849e-01
12 2.5000000e-01 3.3463505e-01
13 2.5000000e-01 3.3463302e-01
14 2.5000000e-01 3.3463463e-01
15 2.5000000e-01 3.3463171e-01
16 2.5000000e-01 3.3463377e-01
17 2.5000000e-01 3.3463272e-01
18 2.5000000e-01 3.3463189e-01
19 2.5000000e-01 3.3463407e-01
20 2.5000000e-01 3.3463076e-01
1 2.5999999e-01 5.2102166e-01
2 2.5999999e-01 5.2102804e-01
3 2.5999999e-01 5.2102745e-01
4 2.5999999e-01 5.2102977e-01
5 2.5999999e-01 5.2101958e-01
6 2.5999999e-01 5.2102542e-01
7 2.5999999e-01 5.2102917e-01
8 2.5999999e-01 5.2102697e-01
9 2.5999999e-01 5.2103215e-01
10 2.5999999e-01 5.2102584e-01
11 2.5999999e-01 5.2102584e-01
12 2.5999999e-01 5.2103269e-01
13 2.5999999e-01 5.2102274e-01
14 2.5999999e-01 5.2102673e-01
15 2.5999999e-01 5.2103031e-01
16 2.5999999e-01 5.2102768e-01
17 2.5999999e-01 5.2102387e-01
18 2.5999999e-01 5.2103198e-01
19 2.5999999e-01 5.2103007e-01
20 2.5999999e-01 5.2103049e-01
1 2.7000001e-01 6.8562675e-01
2 2.7000001e-01 6.8563604e-01
3 2.7000001e-01 6.8563294e-01
4 2.7000001e-01 6.8564194e-01
5 2.7000001e-01 6.8562829e-01
6 2.7000001e-01 6.8563187e-01
7 2.7000001e-01 6.8563390e-01
8 2.7000001e-01 6.8563294e-01
9 2.7000001e-01 6.8562990e-01
10 2.7000001e-01 6.8562979e-01
11 2.7000001e-01 6.8562955e-01
12 2.7000001e-01 6.8563044e-01
13 2.7000001e-01 6.8563658e-01
14 2.7000001e-01 6.8563640e-01
15 2.7000001e-01 6.8563223e-01
16 2.7000001e-01 6.8562967e-01
17 2.7000001e-01 6.8563080e-01
18 2.7000001e-01 6.8563187e-01
19 2.7000001e-01 6.8562627e-01
20 2.7000001e-01 6.8563223e-01
1 2.8000000e-01 8.2118303e-01
2 2.8000000e-01 8.2119471e-01
3 2.8000000e-01 8.2118976e-01
4 2.8000000e-01 8.2119060e-01
5 2.8000000e-01 8.2118064e-01
6 2.8000000e-01 8.2118917e-01
7 2.8000000e-01 8.2118940e-01
8 2.8000000e-01 8.2118714e-01
9 2.8000000e-01 8.2119131e-01
10 2.8000000e-01 8.2119149e-01
11 2.8000000e-01 8.2118964e-01
12 2.8000000e-01 8.2118946e-01
13 2.8000000e-01 8.2119548e-01
14 2.8000000e-01 8.2119220e-01
15 2.8000000e-01 8.2119739e-01
16 2.8000000e-01 8.2119018e-01
17 2.8000000e-01 8.2118976e-01
18 2.8000000e-01 8.2119703e-01
19 2.8000000e-01 8.2119536e-01
20 2.8000000e-01 8.2119089e-01
1 2.8999999e-01 9.2158568e-01
2 2.8999999e-01 9.2158133e-01
3 2.8999999e-01 9.2158967e-01
4 2.8999999e-01 9.2158812e-01
5 2.8999999e-01 9.2159009e-01
6 2.8999999e-01 9.2158931e-01
7 2.8999999e-01 9.2158335e-01
8 2.8999999e-01 9.2158681e-01
9 2.8999999e-01 9.2159462e-01
10 2.8999999e-01 9.2159015e-01
11 2.8999999e-01 9.2158175e-01
12 2.8999999e-01 9.2159015e-01
13 2.8999999e-01 9.2158771e-01
14 2.8999999e-01 9.2159027e-01
15 2.8999999e-01 9.2158645e-01
16 2.8999999e-01 9.2159897e-01
17 2.8999999e-01 9.2158145e-01
18 2.8999999e-01 9.2158383e-01
19 2.8999999e-01 9.2158520e-01
20 2.8999999e-01 9.2158222e-01
1 3.0000001e-01 9.8213398e-01
2 3.0000001e-01 9.8213154e-01
3 3.0000001e-01 9.8214042e-01
4 3.0000001e-01 9.8212230e-01
5 3.0000001e-01 9.8212874e-01
6 3.0000001e-01 9.8213166e-01
7 3.0000001e-01 9.8213804e-01
8 3.0000001e-01 9.8213089e-01
9 3.0000001e-01 9.8213136e-01
10 3.0000001e-01 9.8213130e-01
11 3.0000001e-01 9.8213667e-01
12 3.0000001e-01 9.8212838e-01
13 3.0000001e-01 9.8212934e-01
14 3.0000001e-01 9.8213649e-01
15 3.0000001e-01 9.8213929e-01
16 3.0000001e-01 9.8212779e-01
17 3.0000001e-01 9.8212188e-01
18 3.0000001e-01 9.8212349e-01
19 3.0000001e-01 9.8213482e-01
20 3.0000001e-01 9.8213047e-01
1 3.1000000e-01 9.9978131e-01
2 3.1000000e-01 9.9979085e-01
3 3.1000000e-01 9.9979526e-01
4 3.1000000e-01 9.9978870e-01
5 3.1000000e-01 9.9978876e-01
6 3.1000000e-01 9.9978644e-01
7 3.1000000e-01 9.9978554e-01
8 3.1000000e-01 9.9979490e-01
9 3.1000000e-01 9.9978852e-01
10 3.1000000e-01 9.9978894e-01
11 3.1000000e-01 9.9979222e-01
12 3.1000000e-01 9.9979669e-01
13 3.1000000e-01 9.9978775e-01
14 3.1000000e-01 9.9979341e-01
15 3.1000000e-01 9.9977040e-01
16 3.1000000e-01 9.9979514e-01
17 3.1000000e-01 9.9978846e-01
18 3.1000000e-01 9.9977618e-01
19 3.1000000e-01 9.9978572e-01
20 3.1000000e-01 9.9978733e-01
1 3.1999999e-01 9.7336787e-01
2 3.1999999e-01 9.7333914e-01
3 3.1999999e-01 9.7334582e-01
4 3.1999999e-01 9.7332525e-01
5 3.1999999e-01 9.7333676e-01
6 3.1999999e-01 9.7333145e-01
7 3.1999999e-01 9.7333401e-01
8 3.1999999e-01 9.7334033e-01
9 3.1999999e-01 9.7334749e-01
10 3.1999999e-01 9.7335827e-01
11 3.1999999e-01 9.7334045e-01
12 3.1999999e-01 9.7334963e-01
13 3.1999999e-01 9.7334802e-01
14 3.1999999e-01 9.7334987e-01
15 3.1999999e-01 9.7334737e-01
16 3.1999999e-01 9.7335768e-01
17 3.1999999e-01 9.7334611e-01
18 3.1999999e-01 9.7333473e-01
19 3.1999999e-01 9.7334194e-01
20 3.1999999e-01 9.7333282e-01
1 3.3000001e-01 9.0352386e-01
2 3.3000001e-01 9.0350443e-01
3 3.3000001e-01 9.0350991e-01
4 3.3000001e-01 9.0350902e-01
5 3.3000001e-01 9.0350211e-01
6 3.3000001e-01 9.0351689e-01
7 3.3000001e-01 9.0352428e-01
8 3.3000001e-01 9.0351152e-01
9 3.3000001e-01 9.0352261e-01
10 3.3000001e-01 9.0351236e-01
11 3.3000001e-01 9.0352154e-01
12 3.3000001e-01 9.0352523e-01
13 3.3000001e-01 9.0351927e-01
14 3.3000001e-01 9.0352637e-01
15 3.3000001e-01 9.0351784e-01
16 3.3000001e-01 9.0351468e-01
17 3.3000001e-01 9.0352136e-01
18 3.3000001e-01 9.0351701e-01
19 3.3000001e-01 9.0352160e-01
20 3.3000001e-01 9.0351367e-01
1 3.4000000e-01 7.9296780e-01
2 3.4000000e-01 7.9294127e-01
